# Start Position | End Position | Favorability of Route # 
[58, 41] | [57, 41] | 0.25920965559466264 
[57, 41] | [58, 41] | 0.2585979179492163 
[58, 41] | [57, 41] | 0.25920965559466264 
[57, 41] | [58, 41] | 0.2585979179492163 
[58, 41] | [57, 41] | 0.25920965559466264 
[57, 41] | [58, 41] | 0.2585979179492163 
[58, 41] | [57, 41] | 0.25920965559466264 
[57, 41] | [58, 41] | 0.2585979179492163 
[58, 41] | [59, 41] | 0.2550157272631699 
[59, 41] | [60, 41] | 0.256787911900059 
[60, 41] | [61, 41] | 0.25673996987605696 
[61, 41] | [61, 42] | 0.25754523656340295 
[61, 42] | [61, 43] | 0.2580895863308873 
[61, 43] | [62, 43] | 0.26099145250646016 
[62, 43] | [63, 43] | 0.26398056215982946 
[63, 43] | [64, 43] | 0.26497742639430216 
[64, 43] | [65, 43] | 0.26814168765408 
[65, 43] | [66, 43] | 0.2788482469242914 
[66, 43] | [67, 43] | 0.2791011451760745 
[67, 43] | [68, 43] | 0.27996974957698345 
[68, 43] | [69, 43] | 0.2898707090458878 
[69, 43] | [70, 43] | 0.2932604148105532 
[70, 43] | [71, 43] | 0.321161206855654 
[71, 43] | [72, 43] | 0.32274533748378764 
[72, 43] | [72, 44] | 0.323875178080683 
[72, 44] | [73, 44] | 0.32415749812412675 
[73, 44] | [74, 44] | 0.3271489457352278 
[74, 44] | [75, 44] | 0.33089545034991946 
[75, 44] | [76, 44] | 0.3319288795196471 
[76, 44] | [77, 44] | 0.3526422861181464 
[77, 44] | [77, 45] | 0.3531387043654353 
[77, 45] | [77, 46] | 0.35367665506244605 
[77, 46] | [77, 47] | 0.35359986838541085 
[77, 47] | [77, 48] | 0.35366253744902343 
[77, 48] | [77, 49] | 0.3534497719525069 
[77, 49] | [77, 50] | 0.35367533600432677 
[77, 50] | [77, 51] | 0.3538289831974752 
[77, 51] | [77, 52] | 0.35392761152668945 
[77, 52] | [77, 53] | 0.3534791508352917 
[77, 53] | [77, 52] | 0.3531166098563515 
[77, 52] | [77, 53] | 0.3534791508352917 
